ReactionID,Reaction,UniprotID,EC,ReactionRule
HMR_8357,-1.0 acetaldehyde + -1.0 H2O + -1.0 NAD+ --> 1.0 acetate + 2.0 H+ + 1.0 NADH,"['ALDH2_HUMAN', 'AL9A1_HUMAN', 'AL7A1_HUMAN', 'AL1B1_HUMAN', 'AL3A2_HUMAN']",1.2.1.3,P51648 or P05091 or P30837 or P49189 or P49419
HMR_4379,"-1.0 ATP + -1.0 fructose-6-phosphate --> 1.0 ADP + 1.0 fructose-1,6-bisphosphate + 1.0 H+","['PFKAL_HUMAN', 'PFKAM_HUMAN', 'PFKAP_HUMAN']",2.7.1.11,Q01813 or P17858 or P08237
HMR_4301,"-1.0 fructose-6-phosphate + -1.0 UTP --> 1.0 fructose-1,6-bisphosphate + 1.0 H+ + 1.0 UDP","['CF410_HUMAN', 'PFKAM_HUMAN', 'PFKAL_HUMAN', 'PFKAP_HUMAN']",2.7.1.11,Q01813 or P17858 or P08237 or O43822
HMR_4355,"-1.0 DHAP + -1.0 erythrose-4-phosphate --> 1.0 sedoheptulose-1,7-bisphosphate","['ALDOC_HUMAN', 'ALDOA_HUMAN', 'ALDOB_HUMAN']",4.1.2.13,P09972 or P05062 or P04075 or P04075
HMR_4358,-1.0 ADP + -1.0 H+ + -1.0 PEP --> 1.0 ATP + 1.0 pyruvate,"['KPYM_HUMAN', 'KPYR_HUMAN', 'HCN3_HUMAN', 'TMM54_HUMAN']",2.7.1.40,P14618 or Q969K7 or P30613 or Q9P1Z3
HMR_4360,-1.0 H2O + -1.0 methylglyoxal + -1.0 NADP+ --> 2.0 H+ + 1.0 NADPH + 1.0 pyruvate,['PTGR3_HUMAN'],1.2.1.49,Q8N4Q0
HMR_4363,-1.0 2-phospho-D-glycerate <--> 1.0 H2O + 1.0 PEP,"['ENOB_HUMAN', 'ENOG_HUMAN', 'ENOA_HUMAN']",4.2.1.11,P06733 or P13929 or P09104
HMR_4365,-1.0 2-phospho-D-glycerate <--> 1.0 3-phospho-D-glycerate,"['PGAM1_HUMAN', 'PGAM2_HUMAN', 'PMGE_HUMAN', 'PGAM4_HUMAN']",5.4.2.11,P or P18669 or P07738 or Q8N0Y7
HMR_4368,"-1.0 1,3-bisphospho-D-glycerate + -1.0 ADP <--> 1.0 3-phospho-D-glycerate + 1.0 ATP","['PGK1_HUMAN', 'PGK2_HUMAN', 'TGO1_HUMAN', 'CRIS3_HUMAN']",2.7.2.3,P54108 or P00558 or Q5JRA6 or P07205
HMR_4370,"-1.0 1,3-bisphospho-D-glycerate + -1.0 H2O --> 1.0 3-phospho-D-glycerate + 1.0 H+ + 1.0 Pi","['ACYP2_HUMAN', 'ACYP1_HUMAN']",3.6.1.7,P07311 or P
HMR_4371,"-1.0 1,3-bisphospho-D-glycerate --> 1.0 2,3-bisphospho-D-glycerate + 1.0 H+","['PGAM1_HUMAN', 'PGAM2_HUMAN', 'PMGE_HUMAN', 'PGAM4_HUMAN']","['5.4.2.1', '5.4.2.4']",P or P18669 or P07738 or Q8N0Y7
HMR_4372,"-1.0 2,3-bisphospho-D-glycerate + -1.0 H2O --> 1.0 3-phospho-D-glycerate + 1.0 Pi",['PMGE_HUMAN'],3.1.3.13,P07738
HMR_4373,"-1.0 1,3-bisphospho-D-glycerate + -1.0 H+ + -1.0 NADH <--> 1.0 GAP + 1.0 NAD+ + 1.0 Pi","['G3PT_HUMAN', 'G3P_HUMAN']",1.2.1.12,O14556 or P04406
HMR_4375,"-1.0 DHAP + -1.0 GAP <--> 1.0 fructose-1,6-bisphosphate","['ALDOC_HUMAN', 'ALDOA_HUMAN', 'ALDOB_HUMAN']",4.1.2.13,P09972 or P05062 or P04075 or P04075
HMR_4377,"-1.0 fructose-1,6-bisphosphate + -1.0 H2O --> 1.0 fructose-6-phosphate + 1.0 Pi","['F16P1_HUMAN', 'F16P2_HUMAN']",3.1.3.11,O00757 or P09467
HMR_4381,-1.0 fructose-6-phosphate <--> 1.0 glucose-6-phosphate,['G6PI_HUMAN'],5.3.1.9,P06744
HMR_4391,-1.0 DHAP <--> 1.0 GAP,['TPIS_HUMAN'],5.3.1.1,P60174
HMR_4394,-1.0 ATP + -1.0 glucose --> 1.0 ADP + 1.0 glucose-6-phosphate + 1.0 H+,"['HXK3_HUMAN', 'ADPGK_HUMAN', 'HKDC1_HUMAN', 'HXK1_HUMAN', 'HXK4_HUMAN', 'HXK2_HUMAN']","['2.7.1.1', '2.7.1.2', '2.7.1.147']",P35557 or Q2TB90 or P19367 or Q9BRR6 or P52789 or P52790
HMR_4396,-1.0 glucose-1-phosphate <--> 1.0 glucose-6-phosphate,"['PGM2_HUMAN', 'PGM5_HUMAN', 'PGM1_HUMAN']","['5.4.2.2', '5.4.2.5', '5.4.2.6', '5.2.2.2']",P36871 or Q15124 or Q96G03
HMR_4521,-1.0 glucose-6-phosphate + -1.0 H2O --> 1.0 glucose + 1.0 Pi,"['G6PC3_HUMAN', 'G6PC_HUMAN', 'G6PC2_HUMAN']",3.1.3.9,P35575 or Q9BUM1 or Q9NQR9
HMR_6410,-1.0 H+ + -1.0 lipoamide + -1.0 pyruvate --> 1.0 CO2 + 1.0 S-acetyldihydrolipoamide,"['ODPB_HUMAN', 'ODPAT_HUMAN', 'ODPA_HUMAN']",1.2.4.1,( P08559 and P11177 ) or ( P29803 and P11177 )
HMR_6412,-1.0 CoA + -1.0 S-acetyldihydrolipoamide --> 1.0 acetyl-CoA + 1.0 dihydrolipoamide,"['DLDH_HUMAN', 'ODPAT_HUMAN', 'ODPB_HUMAN', 'ODP2_HUMAN', 'ODPA_HUMAN']",2.3.1.12,( P09622 and P08559 and P10515 and P11177 ) or ( P09622 and P10515 and P29803 and P11177 )
HMR_7745,-1.0 beta-D-glucose <--> 1.0 glucose,['GALM_HUMAN'],5.1.3.3,Q96C23
HMR_7746,-1.0 ATP + -1.0 beta-D-glucose --> 1.0 ADP + 1.0 beta-D-glucose-6-phosphate + 1.0 H+,"['HXK3_HUMAN', 'HKDC1_HUMAN', 'HXK1_HUMAN', 'HXK4_HUMAN', 'HXK2_HUMAN']","['2.7.1.1', '2.7.1.2']",P35557 or Q2TB90 or P19367 or P52789 or P52790
HMR_7747,-1.0 ADP + -1.0 beta-D-glucose --> 1.0 AMP + 1.0 beta-D-glucose-6-phosphate + 1.0 H+,['ADPGK_HUMAN'],2.7.1.147,Q9BRR6
HMR_7748,-1.0 beta-D-glucose-6-phosphate <--> 1.0 glucose-6-phosphate,['G6PI_HUMAN'],5.3.1.9,P06744
HMR_7749,-1.0 beta-D-glucose-6-phosphate <--> 1.0 fructose-6-phosphate,['G6PI_HUMAN'],5.3.1.9,P06744
HMR_8360,-1.0 ethanol + -1.0 H2O2 --> 1.0 acetaldehyde + 2.0 H2O,['CATA_HUMAN'],1.11.1.6,P04040
HMR_8652,-1.0 carbamoyl-phosphate + -1.0 glucose --> 1.0 CO2 + 1.0 glucose-6-phosphate + 1.0 NH3,"['G6PC3_HUMAN', 'G6PC_HUMAN', 'G6PC2_HUMAN']",3.1.3.9,P35575 or Q9BUM1 or Q9NQR9
HMR_8757,-1.0 ethanol + -1.0 H+ + -1.0 NADPH + -1.0 O2 --> 1.0 acetaldehyde + 2.0 H2O + 1.0 NADP+,['CP2E1_HUMAN'],NA,P05181
HMR_3989,-1.0 H2O + -1.0 maltose --> 2.0 glucose,"['CAN3_HUMAN', 'LYAG_HUMAN', 'MGA_HUMAN', 'GANC_HUMAN']",3.2.1.20,P20807 or P10253 or Q8TET4 or O43451
HMR_4122,-1.0 H2O + -2.0 NAD+ + -1.0 UDP-glucose --> 3.0 H+ + 2.0 NADH + 1.0 UDP-glucuronate,['UGDH_HUMAN'],1.1.1.22,O60701
HMR_4837,-1.0 H2O + -1.0 trehalose --> 2.0 glucose,"['TREA_HUMAN', 'PGGHG_HUMAN']",3.2.1.28,O43280 or Q32M88
HMR_5395,-1.0 glycogenin + -8.0 UDP-glucose --> 1.0 glycogenin G8 + 8.0 H+ + 8.0 UDP,"['GLYG_HUMAN', 'GLYG2_HUMAN']",2.4.1.186,O15488 or P46976
HMR_5396,-1.0 glycogenin G8 + -3.0 UDP-glucose --> 1.0 glycogenin G11 + 3.0 H+ + 3.0 UDP,"['GYS2_HUMAN', 'GLYG2_HUMAN', 'GYS1_HUMAN', 'GLYG_HUMAN']",2.4.1.11,O15488 or P13807 or P54840 or P46976
HMR_9727,-1.0 UDP-glucose --> 1.0 H+ + 1.0 UDP + 1.0 glycogen,"['PPR3C_HUMAN', 'PPR3B_HUMAN', 'GYS2_HUMAN', 'GYS1_HUMAN']",2.4.1.11,P13807 or P54840 or Q9UQK1 or Q86XI6
HMR_5397,-1.0 glycogenin G11 --> 1.0 glycogenin G4G7,['GLGB_HUMAN'],2.4.1.18,Q04446
HMR_5398,-1.0 glycogenin G4G7 + -3.0 Pi --> 3.0 glucose-1-phosphate + 1.0 glycogenin G4G4,"['PYGL_HUMAN', 'PYGM_HUMAN', 'PYGB_HUMAN']",2.4.1.1,P11217 or P06737 or P11216
HMR_5399,-1.0 glycogenin G4G4 --> 1.0 glycogenin G7G1,['GDE_HUMAN'],2.4.1.25,P35573
HMR_5400,-1.0 glycogenin G7G1 + -1.0 H2O --> 1.0 glucose + 1.0 glycogenin G7,['GDE_HUMAN'],3.2.1.33,P35573
HMR_5401,-1.0 glycogenin G7 + -7.0 Pi --> 7.0 glucose-1-phosphate + 1.0 glycogenin,"['PYGL_HUMAN', 'PYGM_HUMAN', 'PYGB_HUMAN']",2.4.1.1,P11217 or P06737 or P11216
HMR_8568,-1.0 H2O + -1.0 maltodecaose --> 1.0 fructose + 1.0 maltononaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8569,-1.0 H2O + -1.0 maltodecaose --> 1.0 glucose + 1.0 maltononaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8570,-2.0 H2O + -1.0 maltononaose --> 2.0 fructose + 1.0 maltoheptaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8571,-2.0 H2O + -1.0 maltononaose --> 2.0 glucose + 1.0 maltoheptaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8572,-1.0 H2O + -1.0 maltoheptaose --> 1.0 fructose + 1.0 maltohexaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8573,-1.0 H2O + -1.0 maltoheptaose --> 1.0 glucose + 1.0 maltohexaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8574,-1.0 H2O + -1.0 maltohexaose --> 1.0 fructose + 1.0 maltopentaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8575,-1.0 H2O + -1.0 maltohexaose --> 1.0 glucose + 1.0 maltopentaose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8576,-1.0 H2O + -1.0 maltopentaose --> 1.0 fructose + 1.0 maltotetraose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8577,-1.0 H2O + -1.0 maltopentaose --> 1.0 glucose + 1.0 maltotetraose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8578,-1.0 H2O + -1.0 maltotetraose --> 1.0 fructose + 1.0 maltotriose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8579,-1.0 H2O + -1.0 maltotetraose --> 1.0 glucose + 1.0 maltotriose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8581,-1.0 H2O + -1.0 maltotriose --> 1.0 glucose + 1.0 maltose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8591,-1.0 H2O + -1.0 maltotriose --> 1.0 glucose + 1.0 maltose,"['MGA_HUMAN', 'GANC_HUMAN']",3.2.1.20,Q8TET4 or O43451
HMR_8592,-1.0 H2O + -1.0 maltotriose --> 1.0 glucose + 1.0 maltose,['LYAG_HUMAN'],3.2.1.20,P10253
HMR_8580,-1.0 H2O + -1.0 maltotriose --> 1.0 fructose + 1.0 maltose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8582,-1.0 H2O + -1.0 maltose --> 2.0 fructose,"['AMY2B_HUMAN', 'AMYP_HUMAN', 'AMY1A_HUMAN', 'LYZL1_HUMAN']",3.2.1.1,Q6UWQ5 or P0DUB6 or P0DUB6 or P0DUB6 or P19961 or P04746
HMR_8587,-1.0 H2O + -1.0 maltose --> 2.0 glucose,"['MGA_HUMAN', 'GANC_HUMAN']",3.2.1.20,Q8TET4 or O43451
HMR_8589,-1.0 H2O + -1.0 maltose --> 2.0 glucose,['LYAG_HUMAN'],3.2.1.20,P10253
HMR_8583,-8.0 H2O + -1.0 starch structure 1 --> 8.0 glucose + 1.0 starch structure 2,['MGA_HUMAN'],3.2.1.3,O43451
HMR_8584,-1.0 H2O + -1.0 starch structure 2 --> 1.0 glucose + 1.0 maltose,['SUIS_HUMAN'],3.2.1.10,P14410
HMR_8585,"-1.0 1,3-bisphospho-D-glycerate + -1.0 glucose-1-phosphate --> 1.0 3-phospho-D-glycerate + 1.0 glucose-1,6-bisphosphate",['PGM2L_HUMAN'],2.7.1.106,Q6PCE3
HMR_3944,-1.0 glucose-1-phosphate + -1.0 H+ + -1.0 UTP --> 1.0 PPi + 1.0 UDP-glucose,['UGPA_HUMAN'],2.7.7.9,Q16851
HMR_4128,-1.0 UDP-galactose <--> 1.0 UDP-glucose,['GALE_HUMAN'],5.1.3.2,Q14376
HMR_4130,-1.0 ATP + -1.0 galactose --> 1.0 ADP + 1.0 alpha-D-galactose-1-phosphate + 1.0 H+,"['GALK2_HUMAN', 'GALK1_HUMAN']",2.7.1.6,P51570 or Q01415
HMR_4131,-1.0 glucose-1-phosphate + -1.0 UDP-galactose <--> 1.0 alpha-D-galactose-1-phosphate + 1.0 UDP-glucose,['GALT_HUMAN'],2.7.7.12,P07902
HMR_4132,-1.0 galactose-1-phosphate + -1.0 UDP-glucose --> 1.0 glucose-1-phosphate + 1.0 UDP-galactose,['GALT_HUMAN'],2.7.7.12,P07902
HMR_4303,-1.0 H2O + -1.0 sucrose --> 1.0 fructose + 1.0 glucose,"['LYAG_HUMAN', 'SUIS_HUMAN', 'MGA_HUMAN', 'GANC_HUMAN']","['3.2.1.10', '3.2.1.20', '3.2.1.48']",P14410 or P10253 or Q8TET4 or O43451
HMR_4414,-1.0 ATP + -1.0 galactose --> 1.0 ADP + 1.0 galactose-1-phosphate + 1.0 H+,"['F227B_HUMAN', 'GALK2_HUMAN', 'GALK1_HUMAN']",2.7.1.6,P51570 or Q01415 or Q96M60
HMR_4415,-1.0 H2O + -1.0 lactose --> 1.0 galactose + 1.0 glucose,"['GLB1L_HUMAN', 'LPH_HUMAN', 'BGAL_HUMAN', 'TMPPE_HUMAN']","['3.2.1.23', '3.2.1.108']",P09848 and Q6UWU2 and P16278 and Q6ZT21
HMR_4416,-1.0 galactosylglycerol + -1.0 H2O --> 1.0 galactose + 1.0 glycerol,"['RL36A_HUMAN', 'AGAL_HUMAN', 'BGAL_HUMAN']","['3.2.1.22', '3.2.1.23']",P06280 or P16278 or P83881
HMR_4774,"-1.0 CDP + -1.0 H+ + -1.0 tagatose-1,6-bisphosphate <--> 1.0 CTP + 1.0 D-tagatose-6-phosphate","['PFKAL_HUMAN', 'PFKAM_HUMAN', 'PFKAP_HUMAN']",2.7.1.11,Q01813 or P17858 or P08237
HMR_4775,"-1.0 D-tagatose-6-phosphate + -1.0 ITP <--> 1.0 H+ + 1.0 IDP + 1.0 tagatose-1,6-bisphosphate","['PFKAL_HUMAN', 'PFKAM_HUMAN', 'PFKAP_HUMAN']",2.7.1.11,Q01813 or P17858 or P08237
HMR_4831,-1.0 lactose + -1.0 NAD+ <--> 1.0 3-ketolactose + 1.0 H+ + 1.0 NADH,[],1.1.99.13,
HMR_4832,-1.0 3-keto-beta-D-galactose + -1.0 glucose <--> 1.0 3-ketolactose + 1.0 H2O,"['GLB1L_HUMAN', 'LPH_HUMAN', 'BGAL_HUMAN', 'TMPPE_HUMAN']",3.2.1.23,P09848 and Q6UWU2 and P16278 and Q6ZT21
HMR_7674,-1.0 glucose + -1.0 UDP-galactose --> 1.0 H+ + 1.0 lactose + 1.0 UDP,"['B4GT1_HUMAN', 'B4GT2_HUMAN', 'LALBA_HUMAN']",2.4.1.22,P15291 or O60909 or P00709
HMR_8761,-1.0 ATP + -1.0 D-tagatose --> 1.0 ADP + 1.0 D-tagatose-6-phosphate + 1.0 H+,['KHK_HUMAN'],2.7.1.3,P50053
HMR_8762,-1.0 D-tagatose-6-phosphate <--> 1.0 DHAP + 1.0 glyceraldehyde,"['ALDOC_HUMAN', 'ALDOA_HUMAN', 'ALDOB_HUMAN']",4.1.2.13,P09972 or P05062 or P04075 or P04075
HMR_8764,-1.0 H2O + -1.0 lactose --> 1.0 galactose + 1.0 glucose,['LPH_HUMAN'],3.2.1.108,P09848
HMR_8766,-1.0 galactose + -1.0 H+ + -1.0 NADPH <--> 1.0 galactitol + 1.0 NADP+,"['ALDR_HUMAN', 'AK1BA_HUMAN']",1.1.1.21,P15121 or O60218
HMR_8767,-1.0 alpha-D-galactose-1-phosphate + -1.0 H+ + -1.0 UTP --> 1.0 PPi + 1.0 UDP-galactose,['GALT_HUMAN'],2.7.7.12,P07902
HMR_0454,-1.0 ATP + -1.0 glyceraldehyde --> 1.0 ADP + 1.0 GAP + 1.0 H+,[],2.7.1.28,
HMR_4297,"-1.0 ATP + -1.0 fructose-6-phosphate --> 1.0 ADP + 1.0 fructose-2,6-bisphosphate + 1.0 H+","['F261_HUMAN', 'F262_HUMAN', 'F263_HUMAN', 'F264_HUMAN']",2.7.1.105,Q16877 or O60825 or P16118 or Q16875
HMR_4310,-1.0 ATP + -1.0 fructose --> 1.0 ADP + 1.0 fructose-1-phosphate + 1.0 H+,['KHK_HUMAN'],2.7.1.3,P50053
HMR_4315,-1.0 D-glucitol + -1.0 NAD+ <--> 1.0 fructose + 1.0 H+ + 1.0 NADH,['DHSO_HUMAN'],1.1.1.14,Q00796
HMR_4316,-1.0 D-glucitol + -1.0 NADP+ <--> 1.0 glucose + 1.0 H+ + 1.0 NADPH,"['ALDR_HUMAN', 'AK1BA_HUMAN']",1.1.1.21,P15121 or O60218
HMR_4317,-1.0 ATP + -1.0 D-glucitol --> 1.0 ADP + 1.0 H+ + 1.0 sorbitol-3-phosphate,"['XYLK_HUMAN', 'KT3K_HUMAN', 'NOL9_HUMAN', 'FGGY_HUMAN', 'FN3K_HUMAN']",2.7.1.-,O75063 or Q9HA64 or Q5SY16 or Q or Q96C11
HMR_4318,-1.0 ATP + -1.0 fructose --> 1.0 ADP + 1.0 fructose-3-phosphate + 1.0 H+,"['XYLK_HUMAN', 'KT3K_HUMAN', 'NOL9_HUMAN', 'FGGY_HUMAN', 'FN3K_HUMAN']",2.7.1.-,O75063 or Q9HA64 or Q5SY16 or Q or Q96C11
HMR_4319,-1.0 ATP + -1.0 fructose --> 1.0 ADP + 1.0 fructose-6-phosphate + 1.0 H+,"['HXK3_HUMAN', 'HXK1_HUMAN', 'HKDC1_HUMAN', 'HXK2_HUMAN']",2.7.1.1,Q2TB90 or P19367 or P52789 or P52790
HMR_4320,"-1.0 ATP + -1.0 mannose-1-phosphate --> 1.0 ADP + 1.0 D-mannose-1,6-bisphosphate + 1.0 H+","['XYLK_HUMAN', 'KT3K_HUMAN', 'NOL9_HUMAN', 'FGGY_HUMAN', 'FN3K_HUMAN']",2.7.1.-,O75063 or Q9HA64 or Q5SY16 or Q or Q96C11
HMR_4356,-1.0 DHAP + -1.0 glyceraldehyde --> 1.0 fructose-1-phosphate,"['ALDOC_HUMAN', 'ALDOA_HUMAN', 'ALDOB_HUMAN']",4.1.2.13,P09972 or P05062 or P04075 or P04075
HMR_4383,-1.0 fructose-6-phosphate <--> 1.0 mannose-6-phosphate,['MPI_HUMAN'],5.3.1.8,P34949
HMR_4385,-1.0 mannose-6-phosphate --> 1.0 mannose-1-phosphate,"['PMM2_HUMAN', 'RPC8_HUMAN', 'PMM1_HUMAN']",5.4.2.8,Q9Y535 or Q92871 or O15305
HMR_4386,-1.0 GDP + -1.0 H+ + -1.0 mannose-1-phosphate --> 1.0 GDP-mannose + 1.0 Pi,"['RN123_HUMAN', 'AMGO3_HUMAN', 'GMPPB_HUMAN', 'GMPPA_HUMAN']","['2.7.7.22', '2.7.7.13']",Q96IJ6 or Q5XPI4 or Q9Y5P6 or Q86WK7
HMR_4387,-1.0 GTP + -1.0 H+ + -1.0 mannose-1-phosphate --> 1.0 GDP-mannose + 1.0 PPi,"['AMGO3_HUMAN', 'GMPPB_HUMAN', 'GMPPA_HUMAN']",2.7.7.13,Q96IJ6 or Q9Y5P6 or Q86WK7
HMR_4399,-1.0 GDP-mannose --> 1.0 GDP-4-dehydro-6-deoxy-D-mannose + 1.0 H2O,['GMDS_HUMAN'],4.2.1.47,O60547
HMR_4400,-1.0 GDP-4-dehydro-6-deoxy-D-mannose + -1.0 H+ + -1.0 NADH --> 1.0 GDP-L-fucose + 1.0 NAD+,['FCL_HUMAN'],1.1.1.271,Q13630
HMR_4401,-1.0 GDP-L-fucose + -1.0 PPi <--> 1.0 GTP + 1.0 H+ + 1.0 L-fucose-1-phosphate,"['FPGT_HUMAN', 'TNI3K_HUMAN']",2.7.7.30,Q59H18 or O14772 or Q59H18
HMR_4402,-1.0 6-deoxy-L-galactose + -1.0 ATP <--> 1.0 ADP + 1.0 H+ + 1.0 L-fucose-1-phosphate,['FCSK_HUMAN'],2.7.1.52,Q8N0W3
HMR_4403,-1.0 6-deoxy-L-galactose --> 1.0 L-fuculose,[],5.3.1.25,
HMR_4490,-1.0 ATP + -1.0 mannose --> 1.0 ADP + 1.0 H+ + 1.0 mannose-6-phosphate,"['HXK3_HUMAN', 'HXK1_HUMAN', 'HKDC1_HUMAN', 'HXK2_HUMAN']",2.7.1.1,Q2TB90 or P19367 or P52789 or P52790
HMR_4706,"-1.0 fructose-2,6-bisphosphate + -1.0 H2O --> 1.0 fructose-6-phosphate + 1.0 Pi","['DLX4_HUMAN', 'TIGAR_HUMAN', 'F262_HUMAN', 'F264_HUMAN', 'F263_HUMAN', 'F261_HUMAN']","['3.1.3.46', '3.1.3.11']",Q9NQ88 or Q92988 or Q16877 or O60825 or P16118 or Q16875
HMR_8768,-1.0 GDP-4-dehydro-6-deoxy-D-mannose + -1.0 H+ + -1.0 NADPH --> 1.0 GDP-L-fucose + 1.0 NADP+,['FCL_HUMAN'],1.1.1.271,Q13630
